team,epa_pass,epa_rush,yards_per_game,scoring_per_game,scoring_pct,epa_pass_grade,epa_rush_grade,yards_per_game_grade,scoring_per_game_grade,scoring_pct_grade,overall_grade
ARI,0.14990100763635444,0.007978458872622454,357.70588235294116,27.647058823529413,0.48888888888888893,13.610732496885792,40.368109447685576,17.068099794471415,6.013654076246244,3.383704854781561,18.44943174576453
ATL,-0.028588240632318653,0.028343000178260136,327.0,22.529411764705884,0.5786516853932584,64.82780710931533,28.491056571375132,49.758400406809855,46.418119511453156,40.95826401486134,46.66084630531135
BAL,0.07269579680549464,-0.052000655956141846,354.52941176470586,22.941176470588236,0.5611111111111111,32.333678620236626,76.17257947318274,19.664244813266745,41.7740895000722,29.425646705126518,42.35679605653528
BUF,-0.11364732260952057,0.09415903964942468,293.3529411764706,21.470588235294116,0.615819209039548,86.11117643665321,5.293755652370857,84.84769503106268,58.43107169519099,66.75957014923735,58.182943382430494
CAR,0.10566275123232957,0.02295593317326443,327.2352941176471,21.647058823529413,0.5670731707317074,23.22383591095125,31.47330378847697,49.469396472235424,56.45284372214711,33.18479418138638,38.177212381872195
CHI,0.03125066712786379,0.0014998506998705546,362.11764705882354,24.058823529411764,0.5901639344262295,45.42044510878057,44.409237237381745,13.844903069190838,29.89787997875229,49.058528760500415,36.111830072179245
CIN,0.16470432630190004,0.08688547732208557,381.2352941176471,25.647058823529413,0.5681818181818181,11.111660011697811,6.666237000798702,4.687511736593708,16.314878912048936,33.90443567993629,12.035395950846286
CLE,-0.13150700903724005,-0.053414234457061206,283.6470588235294,21.11764705882353,0.6432160804020101,89.12647629479615,76.86440415898674,90.80369557062119,62.3194006317574,82.15229307742747,80.33756866166419
DAL,0.22059009753774875,0.09469445393981685,377.3529411764706,29.941176470588236,0.4719101123595506,4.613104773785176,5.2023150111065615,5.980620932661146,1.3560214215741107,1.660482729415813,4.087231690011567
DEN,-0.11512486332226766,-0.04282569587742044,278.2352941176471,18.176470588235293,0.6458333333333333,86.38034574449667,71.41919368847024,93.25935607433549,87.59753363543882,83.34264000903256,83.95552680109986
DET,-0.006475979109185032,-0.014758644362009885,332.2352941176471,24.176470588235293,0.5904255319148937,57.827868773787884,54.714765950428045,43.358722221673204,28.74026327599253,49.24434146090413,47.479889926677544
GB,0.07593109549083145,-0.019417486829486883,312.05882352941177,20.941176470588236,0.575,31.377069175057926,57.63995871610328,67.50771873739043,64.22029586820256,38.45126020966566,52.44498591487547
HOU,-0.18609189246432298,-0.049864212905343056,277.47058823529414,17.0,0.7005347593582888,95.40518049955533,75.10581276969288,93.56104770338416,93.2096461334168,97.3928505123667,89.72117213590892
IND,0.039813987774968786,-0.049741568287011796,350.1764705882353,23.41176470588235,0.5511363636363636,42.622766379454895,75.04381182945232,23.587023652920607,36.60733156502264,23.61848372803495,43.81736396861895
JAX,-0.14038826751138248,-0.03992609117701478,303.88235294117646,19.058823529411764,0.6648936170212766,90.43693540605526,69.82839127517127,75.98209868494611,81.66665453354649,90.44329639823717,80.64041195382886
KC,-0.0023403416587311453,-0.04277125735782512,301.52941176470586,18.58823529411765,0.6272189349112426,56.48317877790403,71.38969802099312,78.17664649146111,85.02088512869668,73.77086563942137,71.98481208769799
LA,-0.07460109336688676,-0.040686720425400065,327.88235294117646,18.941176470588236,0.6440677966101696,77.69277671446875,70.24953294561395,48.674824836122845,82.54620220129924,82.5454095813913,71.48432378064422
LAC,-0.09154715094128832,-0.07139236624532203,285.47058823529414,18.941176470588236,0.6348314606741573,81.65364062914612,84.63369162466847,89.84231027789336,82.54620220129924,77.99030686570794,83.84856624586295
LV,0.07690648635908756,-0.035881111994931214,317.94117647058823,24.235294117647058,0.5674157303370786,31.091067557291517,67.54523329562595,60.75201296003513,28.169516658413094,33.40650919461042,45.78403205638005
MIA,0.12556486959994972,0.04323063118776258,348.11764705882354,24.235294117647058,0.5795454545454546,18.502767772822722,21.025651562472667,25.582850808903007,28.169516658413094,41.57797381710707,24.79037570899778
MIN,-0.14807673155591977,-0.05317364768542586,282.70588235294116,18.176470588235293,0.6373626373626373,91.47424006697997,76.74745466978237,91.27271688891089,87.59753363543882,79.30194034142876,85.7596678232034
NE,-0.05703000668514303,-0.033340468133685124,295.3529411764706,18.11764705882353,0.6511627906976745,73.11500571722091,66.07596397329546,83.35636848834976,87.9386369558508,85.60419954225273,77.61716346569447
NO,-0.04606543089877016,-0.07291530421777506,300.0,21.705882352941178,0.5846994535519126,70.03687811569776,85.20150442560028,79.53888240613166,55.789571811673035,45.187867730349424,70.3940732519204
NYG,0.027858637692542217,0.1665516392077444,360.0,24.764705882352942,0.5611111111111111,46.53575274108363,0.27984805545174796,15.336382420113182,23.292967013644827,29.425646705126518,22.3723347563981
NYJ,0.25338385028454463,0.0346165214620181,355.70588235294116,29.235294117647058,0.49189189189189186,2.5276420681393463,25.197871773456736,18.676022249380814,2.232763670359661,3.80571036976034,11.49370668132315
PHI,-0.12440558176107896,-0.024374379682484577,314.4117647058824,19.0,0.6333333333333333,87.98930152182669,60.70633972194823,64.85952025919146,82.10983009556327,77.19204478193447,74.28698486008813
PIT,0.028342270522552268,0.0018966641015168144,357.1764705882353,21.941176470588236,0.5698324022346368,46.37654595418441,44.15958977825951,17.484849175936922,53.122065246689345,34.986756964418284,40.25409251407806
SEA,-0.09949306426050192,-0.14532168439379992,286.2352941176471,16.470588235294116,0.6858638743455497,83.349534712768,98.60547703388838,89.41807303534797,94.98093645470142,95.35877527352021,91.904432362026
SF,0.1121516344009416,0.009967829435126772,340.3529411764706,21.0,0.6130952380952381,21.61532489553212,39.14550710895381,33.827058679726015,63.590305449258764,64.97974319575583,41.17165514649402
TB,0.06803025262810423,-0.07239515735280484,337.2352941176471,23.11764705882353,0.5944444444444444,33.73385834856318,85.00917293118296,37.403072214251196,39.81457951305325,52.09860959399475,50.339149124796904
TEN,0.16735082987680622,0.014169172637402298,345.11764705882354,26.58823529411765,0.5271739130434783,10.701948704363517,36.59978605570359,28.64141678561851,10.55057060228971,12.602856055709333,20.92411677316936
WAS,0.20087369737786492,0.07287591177178955,384.2352941176471,26.058823529411764,0.5117647058823529,6.422431944928703,10.064348406707479,3.850477248315076,13.58034565045736,7.783530105583303,8.386212678221863
